cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,anweight,polintr,psppsgva,actrolga,psppipla,cptppola,polcmpl,trstprl,trstlgl,trstplt,trstprt,lrscale,stfeco,stfgov,stfdem,stfedu,gincdif,prtyban,prtvtdru,ctzcntr,atchctr,edulvla,eduyrs,mainact,emplrel,iorgact,uemp5yr,hinctnta,hincfel
RU,ESS1-9e01,1.0,10.12.2020,368318,ESS8e02_2,8,2.2,135,0.476132035255432,1.20216178894043,4.985758313,5.9936881327807,2,2,1,3,3,,4,3,3,4,3,4,4,5,5,3,,66,2,4,2,9,66,1,3,6,4,3
RU,ESS1-9e01,1.0,10.12.2020,368319,ESS8e02_2,8,2.2,136,0.476132035255432,0.236090049147606,4.985758313,1.17708792515425,2,3,3,2,2,,4,5,6,4,5,4,5,4,4,2,,66,1,5,5,15,66,1,3,2,2,4
RU,ESS1-9e01,1.0,10.12.2020,368320,ESS8e02_2,8,2.2,144,0.476132035255432,0.904395520687103,4.985758313,4.50909748550569,1,1,1,1,8,,0,0,0,0,5,0,0,0,0,2,,66,2,5,1,7,66,1,10,2,8,4
RU,ESS1-9e01,1.0,10.12.2020,368321,ESS8e02_2,8,2.2,145,1.4283961057663,3.82745981216431,4.985758313,19.0827895761716,4,3,1,2,1,,4,6,3,3,5,3,5,4,3,3,,66,1,4,3,12,3,1,0,1,77,1
RU,ESS1-9e01,1.0,10.12.2020,368322,ESS8e02_2,8,2.2,146,0.952264070510864,0.472180098295212,4.985758313,2.35417585030851,2,3,2,1,3,,4,3,2,2,7,4,10,88,2,1,,77,1,5,5,15,66,1,7,6,6,2
RU,ESS1-9e01,1.0,10.12.2020,368323,ESS8e02_2,8,2.2,147,0.476132035255432,0.21773624420166,4.985758313,1.08558028956983,3,3,3,2,3,,2,3,1,2,7,1,0,0,0,1,,66,1,3,5,15,66,2,9,6,77,1
RU,ESS1-9e01,1.0,10.12.2020,368324,ESS8e02_2,8,2.2,157,0.476132035255432,1.30158638954163,4.985758313,6.48939516174482,2,2,2,2,2,,3,3,3,3,5,5,5,5,5,2,,16,1,5,3,12,66,1,1,6,88,8
RU,ESS1-9e01,1.0,10.12.2020,368325,ESS8e02_2,8,2.2,158,0.952264070510864,0.283493041992188,4.985758313,1.41342779079021,2,3,2,2,2,,3,4,2,3,5,3,4,3,4,2,,1,1,4,5,13,66,1,3,6,5,3
RU,ESS1-9e01,1.0,10.12.2020,368326,ESS8e02_2,8,2.2,159,0.952264070510864,0.496314823627472,4.985758313,2.4745057577658,2,1,1,1,1,,5,10,0,0,88,2,5,88,6,1,,13,1,4,5,12,66,1,8,6,6,1
RU,ESS1-9e01,1.0,10.12.2020,368327,ESS8e02_2,8,2.2,160,0.476132035255432,1.27908778190613,4.985758313,6.37722254169521,1,2,2,2,2,,2,4,1,1,3,4,5,4,4,3,,13,1,3,3,10,66,1,2,6,3,4
RU,ESS1-9e01,1.0,10.12.2020,368328,ESS8e02_2,8,2.2,161,0.952264070510864,0.43547248840332,4.985758313,2.17116057913965,3,2,2,3,3,,3,4,4,6,5,3,4,4,4,2,,1,1,3,5,16,66,1,2,6,8,2
RU,ESS1-9e01,1.0,10.12.2020,368329,ESS8e02_2,8,2.2,170,1.90452814102173,4.00043392181396,4.985758313,19.9451966812912,2,1,1,1,1,,0,0,0,0,5,1,0,0,6,1,,66,1,6,3,12,2,1,0,6,10,2
RU,ESS1-9e01,1.0,10.12.2020,368330,ESS8e02_2,8,2.2,171,1.4283961057663,1.12012708187103,4.985758313,5.58468291005493,3,2,2,2,1,,2,2,2,2,4,4,6,1,2,1,,66,1,6,5,18,66,1,8,6,9,2
